driver_id,signup_date,state,age,gender,risk_segment,phone_number,license_number,is_us_based
D001,2023-11-24,WA,29,F,low,+1-342-954-2679,Y6DPBHSA,1
D002,2023-04-12,FL,67,M,low,+1-484-206-3615,ZMF8MDD4,1
D003,2023-11-06,NV,38,F,medium,+1-587-280-5803,3W5UZBIK,1
D004,2023-02-10,AZ,36,F,low,+1-850-573-3664,NHJ7XVG0,1
D005,2023-03-25,WA,51,M,high,+1-855-904-4598,Y41IBLJH,1
D006,2023-10-18,FL,67,M,medium,+1-605-858-8517,FF0T0PVN,1
D007,2023-03-12,TX,54,M,medium,+1-312-356-3621,2PCN9T84,1
D008,2023-01-06,WA,65,F,medium,+1-548-314-5808,PQ85JSG6,1
D009,2023-11-17,NY,41,F,low,+1-365-752-9689,7VREN93I,1
D010,2023-05-04,TX,58,F,medium,+1-270-978-9727,1ERTJ5PH,1
D011,2023-10-04,WA,70,F,low,+1-887-865-7118,PSEIMVIH,1
D012,2023-02-06,FL,67,F,low,+1-232-538-2160,SKRT05UI,1
D013,2023-08-31,TX,48,F,low,+1-641-562-7939,O5BXXC02,1
D014,2023-02-25,FL,37,F,medium,+1-343-632-4006,KI7P5TB9,1
D015,2023-01-08,NY,27,F,low,+1-692-418-7570,6FAO72KZ,1
D016,2024-01-10,NY,57,M,low,+1-422-259-9883,CLBR7TCS,1
D017,2023-04-06,FL,26,F,low,+1-783-452-1651,WPVS7HZI,1
D018,2023-07-22,NV,30,M,low,+1-969-274-1152,Q99CHJ75,1
D019,2023-05-06,NY,45,M,low,+1-756-920-5956,W9XA3KX7,1
D020,2023-03-10,TX,38,F,medium,+1-359-478-5616,VZHWJR64,1
D021,2023-02-17,WA,62,M,low,+1-541-989-3143,WJ0TPAC5,1
D022,2023-03-18,IL,56,F,medium,+1-351-640-3088,BN78BMYY,1
D023,2023-07-01,NY,57,M,high,+1-442-366-3900,5A0L7253,1
D024,2023-05-17,AZ,32,F,high,+1-681-427-4269,3QK2IAGL,1
D025,2023-02-05,AZ,39,M,medium,+1-749-539-1452,E8G8JDP0,1
D026,2023-06-10,AZ,49,F,high,+1-394-460-1727,ZA7TZ0YN,1
D027,2023-02-05,IL,64,M,medium,+1-327-937-5920,SYLZTGXN,1
D028,2024-01-19,AZ,33,M,medium,+1-200-511-5700,H2VLPYS2,1
D029,2024-01-12,WA,32,F,medium,+1-848-834-6491,D8IL3FB9,1
D030,2023-11-09,AZ,26,M,high,+1-789-399-7291,RIXA11DP,1
D031,2023-04-01,CA,66,M,medium,+1-324-667-3184,2Y9V86WZ,1
D032,2023-09-16,NY,49,M,medium,+1-686-660-5246,14J1RIPZ,1
D033,2023-05-01,IL,39,M,high,+1-282-341-3471,IYZCOTOH,1
D034,2023-08-04,AZ,46,F,low,+1-560-505-7389,48P0TVHH,1
D035,2023-08-12,AZ,53,F,low,+1-895-614-3704,479T6VXD,1
D036,2023-08-08,NY,30,M,low,+1-588-535-4467,QM5K8P4Q,1
D037,2024-01-19,IL,56,F,low,+1-270-999-1659,18HAFEYU,1
D038,2023-04-22,IL,51,M,low,+1-821-965-2876,2FLU7U6N,1
D039,2024-01-02,FL,34,F,low,+1-991-508-2983,2UBTXCXA,1
D040,2023-08-04,AZ,53,F,high,+1-850-670-3506,P08J3TRP,1
D041,2024-01-10,IL,59,M,high,+1-288-485-8385,IQVNB4GH,1
D042,2023-05-13,WA,43,M,medium,+1-729-395-2402,IOTIRZQA,1
D043,2023-05-31,FL,36,M,low,+1-795-577-8753,TM9TMQLI,1
